F编码,F名称,F类别,F余额方向,F级次,F父编码,F是否末级,F辅助核算
1001,库存现金,流动资产,借,1,,1,
1002,银行存款,流动资产,借,1,,0,
100201,中国银行太仓支行,流动资产,借,2,1002,1,
100203,工行-敦新建,流动资产,借,2,1002,1,
100204,浏河建鑫,流动资产,借,2,1002,1,
100205,沙溪美鑫,流动资产,借,2,1002,1,
100206,韵科-中行,流动资产,借,2,1002,1,
100207,韵科-建行,流动资产,借,2,1002,1,
100208,韵达-瑞予宏,流动资产,借,2,1002,1,
100209,支付宝-对公,流动资产,借,2,1002,0,
10020901,支付宝@163,流动资产,借,3,100209,1,
10020902,支付宝8960,流动资产,借,3,100209,1,
10020903,支付宝-建鑫,流动资产,借,3,100209,1,
10020904,支付宝-美鑫,流动资产,借,3,100209,1,
100210,极兔傲速,流动资产,借,2,1002,1,
1012,其他货币资金,流动资产,借,1,,0,
101201,申通预付款,流动资产,借,2,1012,1,网点
101202,韵达预付款,流动资产,借,2,1012,1,网点
101203,极兔预付款,流动资产,借,2,1012,1,网点
101204,中通预付款,流动资产,借,2,1012,1,网点
101205,圆通预付款（预留）,流动资产,借,2,1012,1,网点
1101,短期投资,流动资产,借,1,,0,
110101,股票,流动资产,借,2,1101,1,
110102,债券,流动资产,借,2,1101,1,
110103,基金,流动资产,借,2,1101,1,
1121,应收票据,流动资产,借,1,,1,
1122,应收账款,流动资产,借,1,,0,
112201,月结账款,流动资产,借,2,1122,1,部门
112202,客户账款,流动资产,借,2,1122,1,客户
112210,其他账款,流动资产,借,2,1122,1,
1123,预付账款,流动资产,借,1,,0,供应商
112301,供应商预付,流动资产,借,2,1123,1,供应商
112302,预付驿站款,流动资产,借,2,1123,1,供应商
1131,应收股利,流动资产,借,1,,1,
1132,应收利息,流动资产,借,1,,1,
1221,其他应收款,流动资产,借,1,,0,
122101,借款,流动资产,借,2,1221,1,部门
122102,押金,流动资产,借,2,1221,0,
12210201,房租押金,流动资产,借,3,122102,1,部门
12210210,其他押金,流动资产,借,3,122102,1,部门
122103,李青,流动资产,借,2,1221,1,
122104,保证金,流动资产,借,2,1221,1,
122105,其他项目垫付款,流动资产,借,2,1221,1,部门
122106,美申集团,流动资产,借,2,1221,1,
1401,材料采购,流动资产,借,1,,1,
1402,在途物资,流动资产,借,1,,1,
1403,原材料,流动资产,借,1,,1,
1404,材料成本差异,流动资产,借,1,,1,
1405,库存商品,流动资产,借,1,,1,
1406,发出商品,流动资产,借,1,,1,
1407,商品进销差价,流动资产,借,1,,1,
1408,委托加工物资,流动资产,借,1,,1,
1411,周转材料,流动资产,借,1,,1,
1421,消耗性生物资产,流动资产,借,1,,1,
1501,待摊费用,非流动资产,借,1,,0,
150101,房租费,非流动资产,借,2,1501,1,部门
150102,物业费,非流动资产,借,2,1501,1,部门
150103,停车费,非流动资产,借,2,1501,1,部门
150104,信息系统费用,非流动资产,借,2,1501,1,部门
150105,采暖费,非流动资产,借,2,1501,1,部门
150106,宽带费,非流动资产,借,2,1501,1,部门
1502,长期债券投资减值准备,非流动资产,贷,1,,1,
1511,长期股权投资,非流动资产,借,1,,1,
1512,长期股权投资减值准备,非流动资产,贷,1,,1,
1521,投资性房地产,非流动资产,借,1,,1,
1522,投资性房地产累计折旧,非流动资产,贷,1,,1,
1523,投资性房地产减值准备,非流动资产,贷,1,,1,
1526,投资性房地产清理,非流动资产,借,1,,1,
1531,长期应收款,非流动资产,借,1,,1,
1601,固定资产,非流动资产,借,1,,1,部门
1602,累计折旧,非流动资产,贷,1,,1,部门
1603,固定资产减值准备,非流动资产,贷,1,,1,
1604,在建工程,非流动资产,借,1,,1,
1605,工程物资,非流动资产,借,1,,1,
1606,固定资产清理,非流动资产,借,1,,1,
1621,生产性生物资产,非流动资产,借,1,,1,
1622,生产性生物资产累计折旧,非流动资产,贷,1,,1,
1623,生产性生物资产减值准备,非流动资产,贷,1,,1,
1701,无形资产,非流动资产,借,1,,1,
1702,累计摊销,非流动资产,贷,1,,1,
1703,无形资产减值准备,非流动资产,贷,1,,1,
1706,无形资产清理,非流动资产,借,1,,1,
1801,长期待摊费用,非流动资产,借,1,,1,
1901,待处理财产损溢,非流动资产,借,1,,1,
2001,短期借款,流动负债,贷,1,,0,
200101,河北银行,流动负债,贷,2,2001,1,
200102,邮储银行,流动负债,贷,2,2001,1,
200103,申通总部,流动负债,贷,2,2001,1,
200104,工行长安支行,流动负债,贷,2,2001,1,
200105,其他,流动负债,贷,2,2001,1,
2201,应付票据,流动负债,贷,1,,1,
2202,应付账款,流动负债,贷,1,,0,
220201,总部应付,流动负债,贷,2,2202,1,快递品牌
220202,供应商应付,流动负债,贷,2,2202,1,供应商
220299,其他应付,流动负债,贷,2,2202,1,
2203,预收账款,流动负债,贷,1,,0,客户
220301,预购面单预收,流动负债,贷,2,2203,1,客户
220399,其他预收,流动负债,贷,2,2203,1,客户
2211,应付职工薪酬,流动负债,贷,1,,0,
221101,工资【正式工】,流动负债,贷,2,2211,1,
221102,工资【临时工】,流动负债,贷,2,2211,1,
221103,职工保险,流动负债,贷,2,2211,0,
22110301,社会保险,流动负债,贷,3,221103,1,
22110302,商业保险,流动负债,贷,3,221103,1,
221105,住房公积金,流动负债,贷,2,2211,1,
221106,工会经费,流动负债,贷,2,2211,1,
221107,职工教育经费,流动负债,贷,2,2211,1,
221108,非货币性福利,流动负债,贷,2,2211,1,
221109,辞退福利,流动负债,贷,2,2211,1,
221199,其他,流动负债,贷,2,2211,1,
2221,应交税费,流动负债,贷,1,,0,
222101,应交增值税,流动负债,贷,2,2221,0,
22210101,进项税额,流动负债,借,3,222101,1,
22210102,销项税额抵减,流动负债,借,3,222101,1,
22210103,已交税金,流动负债,借,3,222101,1,
22210104,转出未交增值税,流动负债,借,3,222101,1,
22210105,减免税款,流动负债,借,3,222101,1,
22210106,出口抵内销,流动负债,借,3,222101,1,
22210107,销项税额,流动负债,贷,3,222101,1,
22210108,出口退税,流动负债,贷,3,222101,1,
22210109,进项税额转出,流动负债,贷,3,222101,1,
22210110,转出多交增值税,流动负债,贷,3,222101,1,
222102,未交增值税,流动负债,贷,2,2221,1,
222103,预交增值税,流动负债,借,2,2221,1,
222104,待抵扣进项税额,流动负债,借,2,2221,1,
222105,待认证进项税额,流动负债,借,2,2221,1,
222106,待转销项税额,流动负债,贷,2,2221,1,
222107,增值税留抵税额,流动负债,借,2,2221,1,
222108,简易计税,流动负债,贷,2,2221,1,
222109,转出金融商品增值税,流动负债,贷,2,2221,1,
222110,代扣代交增值税,流动负债,贷,2,2221,1,
222111,消费税,流动负债,贷,2,2221,1,
222112,城市维护建设税,流动负债,贷,2,2221,1,
222113,教育费附加,流动负债,贷,2,2221,1,
222114,地方教育附加,流动负债,贷,2,2221,1,
222115,土地增值税,流动负债,贷,2,2221,1,
222116,土地使用税,流动负债,贷,2,2221,1,
222117,房产税,流动负债,贷,2,2221,1,
222118,车船税,流动负债,贷,2,2221,1,
222119,资源税,流动负债,贷,2,2221,1,
222120,矿产资源补偿费,流动负债,贷,2,2221,1,
222121,排污费,流动负债,贷,2,2221,1,
222124,企业所得税,流动负债,贷,2,2221,1,
222125,代扣代交所得税,流动负债,贷,2,2221,1,
222199,其他,流动负债,贷,2,2221,1,
2231,应付利息,流动负债,贷,1,,1,
2232,应付利润,流动负债,贷,1,,1,
2241,其他应付款,流动负债,贷,1,,0,
224101,代收货款,流动负债,贷,2,2241,1,客户
224102,风险保证金,流动负债,贷,2,2241,1,供应商
224104,三轮车保险赔偿款,流动负债,贷,2,2241,1,
224106,生育津贴,流动负债,贷,2,2241,1,
224107,代理点保证金,流动负债,贷,2,2241,1,部门
224110,客户待退款,流动负债,贷,2,2241,1,客户
2401,递延收益,非流动负债,贷,1,,1,
2501,长期借款,非流动负债,贷,1,,1,
2701,长期应付款,非流动负债,贷,1,,1,
3001,实收资本,所有者权益,贷,1,,0,
300101,李青,所有者权益,贷,2,3001,1,
300102,敦新建,所有者权益,贷,2,3001,1,
3002,资本公积,所有者权益,贷,1,,1,
3101,盈余公积,所有者权益,贷,1,,0,
310101,法定盈余公积,所有者权益,贷,2,3101,1,
310102,任意盈余公积,所有者权益,贷,2,3101,1,
3103,本年利润,所有者权益,贷,1,,1,
3104,利润分配,所有者权益,贷,1,,0,
310401,提取法定盈余公积,所有者权益,借,2,3104,1,
310402,提取任意盈余公积,所有者权益,借,2,3104,1,
310403,应付利润,所有者权益,借,2,3104,1,
310404,转作资本的利润,所有者权益,借,2,3104,1,
310405,未分配利润,所有者权益,贷,2,3104,1,
4001,生产成本,成本,借,1,,1,
4101,制造费用,成本,借,1,,1,
4201,劳务成本,成本,借,1,,1,
4301,研发支出,成本,借,1,,1,
4401,工程施工,成本,借,1,,0,
440101,合同成本,成本,借,2,4401,1,
440102,间接费用,成本,借,2,4401,1,
440103,合同毛利,成本,借,2,4401,1,
4402,工程结算,成本,贷,1,,1,
4403,机械作业,成本,借,1,,1,
5001,主营业务收入,营业收入,贷,1,,0,
500101,出港收入,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元,客户,项目"
50010101,现付收入,营业收入,贷,3,500101,1,"网点,业务方向,快递品牌,经营单元,客户,项目"
50010102,月结收入,营业收入,贷,3,500101,1,"网点,业务方向,快递品牌,经营单元,客户,项目"
50010103,到付收入,营业收入,贷,3,500101,1,"网点,业务方向,快递品牌,经营单元,客户,项目"
50010104,总部平台单,营业收入,贷,3,500101,1,"网点,业务方向,快递品牌,经营单元,客户,项目"
500102,派费,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010201,基础派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010202,补贴派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010203,大货派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010204,周期派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010205,调整派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010206,按需派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010207,扶持派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010208,小件员权益,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010209,考核派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010210,VIP专享派费,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
50010211,政策互惠,营业收入,贷,3,500102,1,"网点,业务方向,快递品牌,经营单元"
500103,操作,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010301,退件操作费,营业收入,贷,3,500103,1,"网点,业务方向,快递品牌,经营单元"
50010302,其他操作费,营业收入,贷,3,500103,1,"网点,业务方向,快递品牌,经营单元"
500104,增值服务,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010401,网点线路跑车,营业收入,贷,3,500104,1,"网点,业务方向,快递品牌,经营单元"
500105,政策,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010501,政策返利,营业收入,贷,3,500105,1,"网点,业务方向,快递品牌,经营单元"
50010502,政策考核,营业收入,贷,3,500105,1,"网点,业务方向,快递品牌,经营单元"
500106,考核激励,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010601,质量考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010602,时效考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010603,操作规范考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010604,客服类考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010605,车辆考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010606,网管类考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010607,工单考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010608,签收率考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010609,时效件投诉考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010610,虚假问题件考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010611,末端类考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010612,省区综合考核,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010613,管控类,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010614,KPI激励,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
50010615,扶持基金,营业收入,贷,3,500106,1,"网点,业务方向,快递品牌,经营单元"
500107,客服,营业收入,贷,2,5001,0,"网点,业务方向,快递品牌,经营单元"
50010701,客服受款,营业收入,贷,3,500107,1,"网点,业务方向,快递品牌,经营单元"
50010702,三件私了,营业收入,贷,3,500107,1,"网点,业务方向,快递品牌,经营单元"
5051,其他业务收入,营业收入,贷,1,,0,
505101,食堂收入,营业收入,贷,2,5051,1,部门
505103,其他收入,营业收入,贷,2,5051,1,部门
5101,公允价值变动损益,其他收益,贷,1,,1,
5111,投资损益,其他收益,贷,1,,1,
5121,资产处置损益,其他收益,贷,1,,1,
5151,其他收益,其他收益,贷,1,,1,
5301,营业外收入,其他收益,贷,1,,0,
530101,盘盈收益,其他收益,贷,2,5301,1,
530102,非流动资产处置净收益,其他收益,贷,2,5301,1,
530103,无法支付的应付账款,其他收益,贷,2,5301,1,
530107,政府补助,其他收益,贷,2,5301,1,
530108,违约金收益,其他收益,贷,2,5301,1,
530109,捐赠收益,其他收益,贷,2,5301,1,
530199,其他,其他收益,贷,2,5301,1,
5401,主营业务成本,营业成本,借,1,,0,
540101,面单,营业成本,借,2,5401,0,"网点,业务方向,快递品牌,经营单元"
54010101,面单费,营业成本,借,3,540101,1,"网点,业务方向,快递品牌,经营单元"
540102,派费,营业成本,借,2,5401,0,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010201,基础派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010202,补贴派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010203,大货派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010204,周期派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010205,调整派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010206,按需派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010207,扶持派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010208,小件员权益,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010209,考核派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010210,代派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010211,承包区派费,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
54010212,驿站费用,营业成本,借,3,540102,1,"网点,业务方向,快递品牌,经营单元,供应商,员工"
540103,中转,营业成本,借,2,5401,0,"网点,业务方向,快递品牌,经营单元"
54010301,中转费,营业成本,借,3,540103,1,"网点,业务方向,快递品牌,经营单元"
54010302,中转加收,营业成本,借,3,540103,1,"网点,业务方向,快递品牌,经营单元"
54010303,中转考核,营业成本,借,3,540103,1,"网点,业务方向,快递品牌,经营单元"
54010304,全网出港费,营业成本,借,3,540103,1,"网点,业务方向,快递品牌,经营单元"
54010305,其他中转费,营业成本,借,3,540103,1,"网点,业务方向,快递品牌,经营单元"
540104,操作,营业成本,借,2,5401,0,"网点,业务方向,快递品牌,经营单元"
54010401,中心集包费,营业成本,借,3,540104,1,"网点,业务方向,快递品牌,经营单元"
54010402,三方集包费,营业成本,借,3,540104,1,"网点,业务方向,快递品牌,经营单元"
54010403,退件操作费,营业成本,借,3,540104,1,"网点,业务方向,快递品牌,经营单元"
54010404,其他操作费,营业成本,借,3,540104,1,"网点,业务方向,快递品牌,经营单元"
54010405,装卸费,营业成本,借,3,540104,1,"网点,业务方向,快递品牌,经营单元"
540105,增值服务,营业成本,借,2,5401,0,"网点,业务方向,快递品牌,经营单元"
